id_service_provider;name;address;history;trajectory;start_date;opening_hours;contact_name;contact_mail;contact_web;sector;sidewalk;geom;fk_municipality;contact_cell;contact_phone;id_photo;is_visible
11;Hospedaje Villa Chelita;Iza:  Carrera 5 # 3 – 09;Villa Chelita se encuentra en el casco Urbano de Iza a la salida para el Municipio de Cuitiva. ;Esta casa colonial, ofrece el servicio de alojamiento en una de sus 6 habitaciones que cuentan con baño con agua caliente, wifi, TV, Cocina y comedor, zona de lavandería, parqueadero y vista a jardines. ;1/01/16;Horario de oficina todos los días ;Graciela Camargo Alvarado;gracielacamargo1956@gmail.com;;;;;3;3123795604;;;
12;Villa Tamauka hotel S.AS.;Iza:  Carrera 4 #5-38;Villa Tamauka se encuentra en el casco urbano de Iza, cuenta con alojamiento en hotel y Cabaña, además de varios servicios complementarios. ;La tarifa del alojamiento incluye desayuno, el estacionamiento, admiten mascotas. También cuenta con gimnasio, restaurante y sala de reuniones. ;1/01/16;Permanente ;Sociedad;https://villatamauka.wixsite.com/villatamauka;https://www.facebook.com/Villa-Tamauka-Hotel-200619860301874/;;;;3;3184863424;3134797560;;
13;Hotel Hacienda el Aserrío;Iza:  Carrera 5 #1-67;El Hotel Hacienda el Aserrío se encuentra dentro del municipio de iza y cuenta con alojamiento tipo colonial.;Cuenta con 3 habitaciones que tienen Tv y baño privado y armario, wifi, parqueadero y jardines. La tarifa incluye desayuno. ;1/01/17;Permanente ;Matilde Díaz;;https://www.facebook.com/hotelhaciendaelaserrio/;;;;3;3107871856;;;
14;Casa Caminos Hospedaje;Iza: Carrera 5#8-59;Se encuentra a la entrada de Iza vía Sogamoso, cuenta con alojamiento y servicio de repostería. ;Algunas habitaciones cuentan con balcón y patio, cuenta con parqueadero y la tarifa de hospedaje incluye el desayuno. Cuenta también con repostería artesanal donde se encuentran desde galletas hasta tortas. ;1/01/16;"Hospedaje: Permanente
Repostería: 9am a 7pm todos los días ";Daniel Henao Cristancho;;https://www.facebook.com/pg/casacaminos/photos/?ref=page_internal;;;;3;3124491573;3124490356;;
15;Tota Resort Spa;Cuitiva: Vereda Balcones Cuitiva;Se encuentra ubicado en la Vereda Balcones de Cuitiva a 10 km  de Playa Blanca y con una vista espectacular al Lago de Tota.  ;La tarifa de alojamiento incluye el desayuno y  cuenta con parqueadero, bar, zona de juegos, restaurante. Cuenta con la posibilidad de alquiler de bicicletas. ;1/01/08;Únicamente los Fines de Semana ;Eduardo Vásquez Ruiz;https://lagunadetota.com/;https://www.facebook.com/RefugioGenesis/;;;;4;3105633173;;;
16;Cabañas Yucatán;Aquitania 3km de Aquitania vía Playa Blanca;Cabañas Yucatán cuenta con 6 cabañas con vista al lago de Tota. ;El Alojamiento en las 6 cabañas depende de el número de huéspedes, aunque todas ofrecen baño privado totalmente equipado, ducha y amenites. Cuenta con zona de parqueadero.;1/12/18;8am a 8pm todos los días ;Miriam Cardozo de Chaparro;https://cabanasyukatan.com/;https://www.facebook.com/CabanasYukatanBoyaca/;;Vereda Suse;;5;3507504943;3134852570;;
17;Hotel Refugio del Lago;Aquitania:  Carrera 9 #5 – 89;El Hotel Refugio del Lago se encuentra en el Municipio de Aquitania.;Ofrece servicio de alojamiento, incluye internet y aparcamiento, además ofrece el servicio de desayuno. ;1/01/18;30 pm a 9 pm todos los días ;Ángela Yolanda Barrera;https://www.refugiodelago.com/;https://www.facebook.com/HRefugiodelLago/;;;;5;3227325724;;;
18;San Esteban Hospedaje Campestre;Aquitania: Vereda Susaca sector Pozo Azul;San Esteban Hospedaje Campestre es una cabaña que se encuentra en la vereda Susaca y cuenta con vista al Lago de Tota.;Ofrece alojamiento en la cabaña y en zona de camping, se cuenta con parqueadero, cocina y se tiene l a posibilidad de contratar guía para realizar senderos ecoturísticos. ;1/01/15;Oficina: entre semana: 3 pm a 7 pm y Fines de Semana: 8am a 3pm - reservas a contacto en cualquier momento del día ;Víctor Manuel Riveros;;https://www.facebook.com/SAN-Esteban-Alojamiento-Campestre-1814120082178988/?__tn__=%2Cd%2CP-R&eid=ARC9f1WA6lsUZarrX7BQAoA32zufs96EiICwe-b-qxyhgWVDhY0PJsCOiVsjDn2MUe-dy4t5vnIWp_2A;Pozo Azul ;Vereda Susaca;;5;3138337448;3206806555;;
19;Portal a la Cascada;Monguí: Vereda el Vallado sector la Cuadra  ( 7 cuadras del parque principal);Portal a la Cascada es un Hotel Rural que se encuentra ubicado la Vereda el Vallado.;Cuenta con servicio de alojamiento, wifi y parqueadero. ;1/11/16;Permanente ;Juana Fernández Ojeda;;https://www.facebook.com/portaldelacascada/;La Cuadra;Vereda Vallado;;8;3138233897;3213592512;;
20;Monguí Plaza;Monguí: Carrera 4# 4-10;Monguí Plaza queda ubicado en el casco urbano del Municipio de Monguí, cuenta con arquitectura colonial. ;Recepción las 24 horas del día, las habitaciones incluyen tv y baño privado, wifi y parqueadero.  La tarifa incluye el desayuno. ;1/12/15;Permanente ;José Pérez Agudelo;;https://www.facebook.com/monguiplaza.hotel/;;;;8;3132090067;3214294772;;
21;Hotel Calicanto Real;Monguí:  Carrera 3 contiguo puente Calicanto;El Hotel Calicanto Real se encuentra ubicado contiguo al puente Calicanto del Municipio de Monguí. ;Todas las habitaciones cuentan con baño privado, la tarifa incluye el desayuno tipo americano. Otros servicios  parqueadero, bar y wifi y Restaurante.  ;1/01/11;Permanente ;Julio Hernán Sáenz;calicantoreal.hotel@gmail.com;https://www.facebook.com/calicantorealhotel/;;;;8;3118111519;3107946840;;
22;Hospedaje la Casona de San Francisco;Monguí:  Carrera 4 #3-27;Queda ubicada en el Casco urbano de Monguí contigua al restaurante homónimo. ;La tarifa del alojamiento incluye el desayuno, cuenta también con restaurante y ofrece servicio de cabalgata dentro del municipio. ;1/01/17;de 6am a 10 pm todos los días;David Esteban Fernández Cely;;https://www.facebook.com/Restaurante-Alojamiento-La-Casona-de-San-Francisco-de-As%C3%ADs-172455739612312/;;;;8;3115943004;3112820425;;
23;Hostal Casa del Frailejón;Monguí:  Calle 3 #2-53;Cuenta con una excelente ubicación dentro del Municipio de Monguí. ;Cuenta con 2 habitaciones con armario privada, con cocina, baño y zona de estar compartido y wifi. ;1/11/11;Permanente ;Feliz Duván Moreno Serrano;;https://www.facebook.com/hostalcasadelfrailejon/;;;;8;3022289737;3144099813;;
24;Terrazas Hospedaje;Monguí: Calle 3 #3-63;Ubicada en el Casco Urbano de Monguí con capacidad de 4 habitaciones.;Servicios de wifi, parqueadero, agua caliente, baño privado, tv cable y todo tipo de bebidas calientes.;1/01/15;2 pm a 9 pm todos los días ;José Omar Rodríguez;"hostalvillademongui@gmail.com 
";https://www.facebook.com/profile.php?id=100008242749519&fref=search&__tn__=%2Cd%2CP-R&eid=ARArTMdhY18QKpVDlCr7ZFTayIPyb4qOv1GNrvy8wCWr37BtnUV1u5BJw3SAQkQ8cMqyBkqVlKXiydCq;;;;8;3153381776;3142275080;;
25;Granja San Cristóbal;Monguí: Vereda el centro sector el Portón blanco;Granja Turística ubicada en la vereda el centro ofrece alojamiento rural.;Alojamiento rural, ofrece aparte de la tarifa de alojamiento el desayuno, se puede contemplar la naturaleza. ;1/01/12;Todos los días hasta las 5 de la tarde;José Miguel Barrera Martínez;granjasancristobal_mongui@hotmail.com;;Porton Blanco;Vereda el Centro ;;8;3123047041;;;
26;Hostal Villa Cucha;Monguí: Km 15 vía la cascada desde el Parque Principal;Alojamiento Rural para desconectarse un poco de la vida citadina. ;Agua caliente, Tv cable, wifi, baño compartido, parqueadero y cocina compartida. ;1/03/19;Permanente ;Dora Vargas Hernández;"diegorodriguez94@gmail.com
";;;Vereda Duzgua ;;8;3114809936;;;
27;Refugio de Montaña Rincón de Duzgua;Finca la Palma Vereda Duzgua – Mongua;El Refugió de Montaña Rincón de Duzgua cuenta con una trayectoria de más de 5 años ofreciendo Hospedaje en medio de la naturaleza. ;Se encuentra ubicado en la Vereda Duzgua del Municipio de Monguí a 3.000 metros sobre el nivel del mar, ofrece servicio de alojamiento, para llegar al lugar se puede contratar guía o mototaxi dependiendo de como quiera vivir cada turista su experiencia: además cuenta con experiencias las cuales son: 1. Enfocada a la transformación humana, enfocada al agua y a la recreación pasiva. ;1/02/14;Horario de atención de 8 am a 5 pm todos los días. ;Luis Fernando Gil Meza;https://www.facebook.com/Reflexividad/;;;Vereda Duzgua ;;8;3145687690;;;
28;Pueblito Viejo;Aquitania: Carrera 6 No 7-04;Se encuentra ubicado frente a la Plaza Principal de Aquitania en una casona que conserva tradición y cultura.;Aparte de los platos cotidianos, se puede disfrutar de platos típicos de alta cocina como: la cazuela de trucha con camarones y cangrejo, trucha con vino y almendras, trucha ahumada o con champiñones o un simple pollo a la plancha que con el esmero que le ponen y los ingredientes de alta calidad ;1/01/95;"Lunes a Viernes: 11am  8pm
Fines de semana: 11am a 9pm ";Uriel Ángel Suárez Fonseca;;https://www.facebook.com/RPueblitoViejo/;;;;5;3112321295;3125220391;;
29;El Mirador de Playa Blanca;Aquitania: Vereda La Puerta Km 14-105 Tota-Aquitania;El Mirador del Lago de Playa Blanca es constituido por una familia Aquitanense que ofrece el mejor servicio. ;El Restaurante Mirador de Playa Blanca, ofrece servicio de Desayuno, almuerzo, cena y platos a la carta. Su especialidad la Trucha. ;1/06/16;7am a 7pm todos los días;María Mercedes Pérez Rodríguez;;https://www.facebook.com/miplayablanca/;la Puerta ;Playa Blanca;;6;3219610240;;;
30;Café Amor;Monguí: Calle 5 No 3-02 Plaza Principal;Café Amor, ubicado a un costado de la Plaza Principal de Monguí, un lugar perfecto para acompañar unas onces tradicionales.;Café amor, aparte de ofrecer bebidas frías y calientes, amasijos y demás preparaciones boyacenses. Ofrece servicio de desayuno, almuerzo y cena. pizza, crepes, lasaña, pastas, bebidas calientes y frías;1/02/18;7:30 am a 9:30 pm todos los días;Amanda Cantor;;https://www.facebook.com/cafeamormongui/?ref=br_rs;;;;8;3152373942;;;
31;Camino al Calicanto;Monguí: Carrea 3 No 2-16;Ubicado cerca entre la plaza principal y el Puente de Calicanto en el Municipio de Monguí. ;Servicio de comida típica, nacional e internacional. Además parqueadero, wifi, bar cafetería, recepciones y eventos.;1/01/16;"Temporada alta: 7am a 11pm 
Temporada baja: 7am a 8 pm ";Ibeth Puentes Siavato;caminoalcalicanto@gmail.com;https://www.facebook.com/caminoalcalicanto/;;;;8;3143931476;3204924673;;
32;Rincón del Fogón;Monguí: Carrera 3 No. 3-09;Ubicado a una cuadra de la Plaza Principal del Municipio de Monguí. ;Caldo, huevos al gusto, jugo y bebida caliente. Platos ejecutivos y a la carta.;1/03/19;8am a 8pm todos los días ;Alfonso Rincón;;;;;;8;3153461757;;;
33;Casa de la Cultura Restaurante;Monguí: Carrera 4 Calle 5 Esquina Casa de la Cultural;Ubicado en la Plaza Principal del Municipio de Monguí antiguamente era la Casa de la Cultura.;Servicio de comida típica, nacional y platos caseros;1/01/16;9am a 3:30 pm todos los días;Luz Marina Soto;;;;;;8;3134189030;;;
34;La Casona de San Francisco;Monguí: Carrea 4 No 3-27;Ubicado en el casco urbano de Monguí, conserva su arquitectura y ofrece servicio de calidad. ;Platos de la región y platos internacionales, ofrecen al público el famoso cocido boyacense plato endémico de la región.  Además parqueadero, wifi, recepciones y eventos.;1/07/03;"Entre semana: 8am a 4 pm 
Fines de semana: 8am a 9 pm ";Víctor José Fernández Cely;lacasonadesanfransisco@gmail.com;https://www.facebook.com/Restaurante-Alojamiento-La-Casona-de-San-Francisco-de-As%C3%ADs-172455739612312/;;;;8;3112379823;3112820425;;
35;Bochica;Iza: Parque Principal;Queda ubicado en la esquina del parque principal de Iza, cuenta con capacidad para 20 personas. ;Ofrece menú diario, dominical y platos especiales. ;1/01/71;9 am a 6 pm  todos los días ;Helena Nontoa;;;;;;3;3103282152;3125960972;;
36;Villa Consuelo Postres y Café;Iza: Carrera 4A 31;Ubicado en un costado del Parque Principal del Municipio de Iza.;Ofrece los típicos postres del Municipio de Iza y postres de la cocina tradicional, también servicio de cafetería en general. ;1/05/15;"Lunes a Viernes: 1pm a 7pm 
Fines de semana: 9:30 am a 7:30 pm";María Fernanda Zorro Vera;;;;;;3;3202850249;;;
37;Las Palmas;Iza: Calle 4 No 4-43;Ubicado cerca al parque principal del Municipio de Iza. ;Ofrece desayunos y almuerzos, desde el menú del día hasta platos especiales.;1/01/17;"Lunes a Viernes: 7 am a 8 pm 
Fines de semana: 6:30 am a 10 pm ";Martha Lucía Africano Chaparro;;;;;;3;3103431895;;;
38;Playa Blanca el Maná;Tota: Vereda La Puerta, sector Playa Blanca;Queda ubicado frente a la entrada de Playa Blanca;Además de ofrecer servicio de alimentación y parqueadero, está implementando alojamiento.;1/01/19;fines de semana: 8am a 6pm ;Alba Pilar Herrera;;https://www.facebook.com/playablancaelmana/;;;;6;3112649474;3148770710;;
39;Arca de Noah;Tota: Vereda La Puerta, sector Playa Blanca;El arca de Noah esta ubicada en la vereda puerta del sector Playa Blanca y permite una vista al lago espectacular, ya que se encuentra en un punto mirador;Ofrecen Desayuno, almuerzo y cena, también platos a la carta y están incursionando con alojamiento en la misma infraestructura, lo que permite tener una mejor vista del lago de tota. ;1/12/11;Todos los días: 8:30 am a 5:00 pm ;Edison Arley Rojas;;https://www.facebook.com/ArcaDeNoahPlayaBlanca/;;;;6;3213352695;3112538268;;
40;Madera y Tizón;Aquitania: Carrera 9 No 9-30;El Restaurante Madera y tizón se encuentra en el Municipio de Aquitania.;Ofrece platos típicos a la carta, menú del día, desayuno, almuerzo y cena. ;1/10/17;Lunes a Viernes: 9:00 am a 6:00 pm;Leonardo Yefrith Pérez Rojas;;https://www.facebook.com/pages/Madera-Y-Tizon-Aquitaniaboyaca/938294536335658;;;;5;3118469185;3114684573;;
41;Arco Iris 2;Aquitania: Calle 7 No 6-32;Se encuentra ubicado frente a la Plaza Principal de Aquitania ;Ofrece Platos a la carta y alimentación cotidiana, es decir, desayuno, almuerzo y cena.;1/03/94;8:00 am a 4:00 pm todos los días;Nelsy Díaz Pineda;;https://www.instagram.com/explore/locations/526080750834127/restaurante-arco-iris-2/?hl=es-la;;;;5;3208562826;3114550065;;
42;Lagoon Parrilla y Café;Aquitania: Carrera 7 No 5-48;Ubicado en el Municipio de Aquitania lugar amplio e instalaciones cómodas.;Lagoon Parrilla y Café ofrece platos a la carta y menú del día, además servicio de cafetería y bar. ;1/01/18;9:00 am a 10:00 pm todos los días ;Diana Alexandra Cruz Torres;;https://www.facebook.com/Lagoon-parrilla-caf%C3%A9-115410562425026/;;;;5;3115862403;3193280282;;
43;Guaquira;Aquitania: Carrera 6 No. 6-35;Ubicado enseguida de la Iglesia en el Parque Principal del Municipio de Aquitania. ;Ofrece desde desayunos hasta cenas, platos especiales, se encuentra en una buena ubicación. ;1/03/17;8am a 6pm todos los días ;Holman Enrique Chaparro;restauranteguaquira@hotmail.com;https://www.facebook.com/Restaurante-Gu%C3%A1quira-191239934638969/;;;;5;3127276922;3142156182;;
44;Playa Blanca Travel; Sogamoso Carrera 4 No 18-57 Urbanización Villa Juliana - Tota centro de operación. ;Playa Blanca Travel es una Asociación de Prestadores de servicios turísticos  locales, la cual tiene como fin complementar la oferta turística de Playa Blanca. ;" La Asociación ofrece en Playa Blanca y sus alrededores: Hospedaje
Actividades turísticas: Caminatas, senderos ecológicos
Servicio de Cabalgata Servicio de Cabalgata, Servicio de Kioskos (bebidas calientes y comida), Motos Náuticas, Transporte Fluvial, Cuatrimotos, artesanías y Venta de Postres.";1/07/16;Permanente;Francisney Restrepo Pérez;;;;Playa Blanca;;6;3202495606;3115311442;;
45;Aqualago Limitada;Aquitania: Carrera 6 No 7-04;Operadora Turística de Aquitania, especializada en Transporte Fluvial de pasajeros ;Embarcaciones tipo Chalupa, barcos y lanchas.;1/08/09;6:00 am a 6:00 pm todos los días;Yelitza Jannette Torres Cruz;www.aqualagoboyaca.com;https://www.facebook.com/aqualagoboyaca/;;;;5;3107537535;3112689159;;
46;Camaqui tours;Aquitania:  Carrera 10 No 6-04;Operadora Turística de Aquitania, especializada en Guianza. ;Ofrece Caminatas ecoturísticas, recorridos culturales y religiosos, hospedaje campestre, talleres demostrativos de cultivos (cebolla, fresa y piscicultura);1/01/16;"3:00pm a 7:00pm de lunes a viernes 
Fines de semana: 8am a 3 pm";Víctor Manuel Riveros;;https://www.facebook.com/CamAqui-Tours-152369665298963/;;;;5;3138337448;3206806555;;
47;Artesanías y Tejido Artexcol;Aquitania:  Calle 5 No 5-35;Artexcol se encuentra ubicado cerca a la Plaza Principal del municipio de Aquitania ;"Venta de tejidos y artesanías 
Taller demostrativo del proceso de la lana y proceso de el producto
Salidas a esquilar ovejas y visitar tejedores 
";1/01/99;7:00 am a 8:00 pm todos los días ;Carlos Bernal Castellanos;;https://www.facebook.com/ARTEXCOL-COLOMBIA-205163806199955/;;;;5;3115294261;;;
48;Mamapacha Experience;Aquitania: Carrera 7 #6-17;Operadora Turística especializada en Turismo Comunitario, Agroturismo y bici turismo.;"Venta de Productos artesanales,(jabón, shampoo, souvenir, tejidos, café) 
 talleres demostrativos de experiencias campesinas, guianza, turismo comunitario.
";1/02/19;8:00am a 5:00pm todos los días;Laura Marcela Diamonpe Sánchez;www.mamapachaexperience.com ;https://www.facebook.com/MamaPacha-Experience-583410512076510/;;;;5;3125835557;3204029551;;
49;Izavita Tours;Carrea 4 N° 4ª – 21 ;Izavita se conformó como unidad productiva en el año 2006 y se ha venido consolidando y certificando en la Provincia de Sugamuxi.;Izavita Tours, ofrece servicios propios y en convenio para complementar la actividad del turista. Tiene convenio con varios hoteles y restaurantes del municipio de Iza, los cuales se sugieren dependiendo del gusto y la comodidad que el cliente desee, además ofrece servicio de bici turismo el cual incluye seguro medico y guía de turismo certificado, cuentan con varios tramos dependiendo de la actitud física del turista, otro servicio que se incluye es el de guianza la cual se planifica de manera personalizada.;1/10/17;En la Oficina: Fines de Semana de 8 a 6pm, por medio de reserva al contacto. ;"Víctor Alfonso Hernández Tota 

 Laura Natalia Bustamante Camargo";www.izavitatours.com;"https://twitter.com/izavitatours?lang=es, https://www.facebook.com/IzaVitaTours/
";;;;3;3202226293;3125665867;;
50;Artesanías y Café;Iza  Calle 4 No 4-63;Ubicada en el Municipio de iza perfecta ubicación. ;Venta de Artesanías en lana y madera y también se labora como café.;1/01/13;9:00am a 7:00 pm todos los días ;Camilo Chaparro Cruz;;;;;;3;3208669422;;;
51;Artesanías el Sol;Iza  Carrera 5 No 5-04;Ubicada en la avenida principal del Municipio de Iza.;Venta de ruanas e hechas en lana virgen, sombreros, vasijas de barro y artesanía en general.;1/01/19;10:00am a 6:00 pm todos los días ;Norma López Sánchez;;;;;;3;3132837764;;;
52;Paramongui;Monguí Carrera 4 No 3-30;Agencia de viajes especializada en caminatas ecoturísticas;"Venta de productos artesanales, Taller demostrativo del proceso de la sopa y actividades de campo
";1/07/18;8:00am a 8:00 pm todos los días;Luz Marina Avella;;https://www.facebook.com/ParaMongui/;;;;8;3124662253;3118524095;;
53;Artes con Amor;Monguí Calle 5 No 3-12 Barrio Divina Misericordia;Tienda artesanal  ubicada en la plaza Principal de Monguí.;Venta de artesanías hechas a base de cerámica, resina, yeso, icopor o tejidos.;1/04/18;9:00 am a 8:00 pm todos los días ;Nancy Arias;;;;;;8;3222501728;3163306585;;
54;Monguí Travels;Monguí Calle 5 No 3-56; Es una empresa local que lleva 5 años y está ubicada en la Plaza principal de Monguí. ;Monguí Travels es una Operadora Turística que ofrece caminatas ecoturísticas, ciclomontañismo, recorridos urbanos, escalada en roca, Escalada en Muro artificial y Talleres Vivenciales;1/04/14;7:00am a 7:00pm todos los días;Diana Ximena Fernández Cely;www.monguitravels.com ;https://www.facebook.com/MonguiTravelspage/;;;;8;3134248207;3144754359;;
55;Guarte;Carrera 3 No 1-101;Tienda artesanal  ubicada en el municipio de Monguí.;"Venta de Productos artesanales hechos en lana y madera, además de la venta de gastronomía típica. 
";1/01/15;9:00am a 6:00pm todos los días;Jorge Enrique Gutiérrez Sierra;;;;;;8;3118771962;;;
56;Finca el Raudal;Mongua: Vereda Pericos vía la cascada, 1 km del parque principal; Campesinos de la Vereda pericos que ofrecen servicios turísticos. ;Cuentan con dos fincas divididas para los talleres demostrativos, en un ase puede realizar el taller de agricultura y en la otra el de ganadería, ofrecen alojamiento y alimentación en las casas rurales campesinas. ;1/01/18;Permanente ;Olga Sipagauta Siavato;;;La cascada;Vereda Pericos ;;8;3102356043;3219743059;;
57;Inasqua Expediciones;Facebook – Mongua;Inasqua Expediciones ofrece senderos interpretativos, turismo rural comunitario.;"Guianza (contacto de transporte)
Rutas: 
Senderismo:
 El Casco Urbano de Mongua a laguna negra 
Laguna negra – Laguna de Siscunsi 
Monguí – laguna la colorada 
Mongua – Lagunas de las estrellas 
Mongua – Laguna la Guevara 
";1/01/18;Permanente ;Fabián Fernando Díaz Cordero;;https://www.facebook.com/InasquaExpediciones/;Laguna Negra ;;;7;3225389760;;;
58;Nómadas Boyacá;Facebook – Mongua;Nómadas Boyacá es una Tour Operadora, especializada en senderismo y Turismo rural comunitario. ;Ofrece Ecoturismo Rural: vivencias, talleres ambientales, animación sociocultural, rescatando los valores de la cultura Muisca a través de los Municipios donde habitaban, Senderismo: ruta de los pictogramas resaltando importancia, el fuerte también es ecosistemas del paramo, ruta del sol naciente, entre otras rutas que permiten conocer la historia y relacionarnos con nuestros campesinos.;1/01/17;Permanente ;José Santos Silva Rangel;;https://www.facebook.com/naturalmentextremo/;Laguna Negra ;;;7;3143794349;;;
